formula,naive,naiveuc,binary,binaryuc
pltl-5-0-22-3-0-200007.alaska,1,1,1,1
unsat12.txt,4,4,4,4
pltl-5-0-1-3-0-200006.alaska,1,1,1,1
pltl-12-0-25-3-0-200005.alaska,1,1,1,1
phltl_28_27.alaska,2,2,3,2
pltl-12-0-96-3-0-200002.alaska,100,100,100,100
pltl-12-0-59-3-0-200005.alaska,100,100,100,100
unsat40.txt,2,2,2,2
pltl-12-0-42-3-0-200003.alaska,1,1,1,1
pltl-12-0-90-3-0-200002.alaska,1,1,1,1
counterCarry6.alaska,2,2,2,2
O2formula800.alaska,100,100,100,100
pltl-12-0-7-3-0-200003.alaska,1,1,1,1
unsat75.txt,6,6,6,6
unsat39.txt,3,3,3,3
pltl-5-0-19-3-0-200005.alaska,1,1,1,1
O1formula600.alaska,2,2,2,2
phltl_22_21.alaska,2,2,2,2
pltl-5-0-18-3-0-200007.alaska,1,1,1,1
pltl-12-0-9-3-0-200002.alaska,1,1,1,1
pltl-12-0-10-3-0-200009.alaska,1,1,1,1
unsat21.txt,3,3,3,3
pltl-12-0-38-3-0-200005.alaska,1,1,1,1
phltl_10_9.alaska,2,2,2,2
spec_c_3.alaska,1,1,1,1
unsat118.txt,5,5,5,5
counterCarryLinear8.alaska,100,100,2,2
unsat124.txt,8,8,8,8
pltl-12-0-37-3-0-200001.alaska,1,1,1,1
counterLinear18.alaska,2,3,2,2
pltl-5-0-3-3-0-200004.alaska,1,1,1,1
pltl-12-0-25-3-0-200000.alaska,1,1,1,1
O2formula100.alaska,100,100,100,100
pltl-12-0-16-3-0-200008.alaska,1,1,1,1
lift_f_l_6.alaska,3,4,4,4
pltl-5-0-27-3-0-200006.alaska,1,1,1,1
counter18.alaska,2,2,3,3
pltl-5-0-2-3-0-200009.alaska,1,1,1,1
pltl-12-0-4-3-0-200000.alaska,1,1,1,1
unsat62.txt,2,2,2,2
O1formula800.alaska,100,2,2,2
unsat212.txt,3,3,3,3
pltl-12-0-14-3-0-200008.alaska,1,1,1,1
spec_cl_8.alaska,100,1,1,1
unsat154.txt,3,3,3,3
phltl_34_33.alaska,2,2,3,2
unsat200.txt,3,3,3,3
demo-v3_cl_5.alaska,2,2,2,2
lift_f_l_11.alaska,100,100,3,3
pltl-12-0-60-3-0-200003.alaska,100,100,100,100
lift_b_7.alaska,2,2,2,2
pltl-5-0-16-3-0-200001.alaska,1,1,1,1
pltl-12-0-40-3-0-200000.alaska,1,1,1,1
pltl-12-0-59-3-0-200000.alaska,100,100,100,100
pltl-5-0-5-3-0-200001.alaska,1,1,1,1
pltl-12-0-30-3-0-200000.alaska,1,1,1,1
pltl-5-0-4-3-0-200008.alaska,1,1,1,1
pltl-5-0-10-3-0-200000.alaska,1,1,1,1
pltl-12-0-53-3-0-200006.alaska,1,1,1,1
lift_f_13.alaska,100,2,2,2
pltl-12-0-19-3-0-200001.alaska,1,1,1,1
lift_l_3.alaska,3,3,2,2
phltl_18_17.alaska,2,2,2,2
pltl-12-0-57-3-0-200000.alaska,1,1,1,1
phltl_40_39.alaska,2,2,2,2
lift_18.alaska,2,2,2,2
forobotsr1f0_Gn_g.alaska,2,2,2,2
counterCarryLinear17.alaska,100,2,2,2
pltl-5-0-21-3-0-200009.alaska,1,1,1,1
pltl-5-0-17-3-0-200002.alaska,1,1,1,1
unsat51.txt,4,4,4,4
pltl-5-0-13-3-0-200007.alaska,1,1,1,1
counterLinear8.alaska,2,2,2,2
pltl-5-0-17-3-0-200005.alaska,1,1,1,1
counterCarryLinear6.alaska,5,2,2,2
pltl-5-0-32-3-0-200003.alaska,1,1,1,1
pltl-12-0-14-3-0-200001.alaska,1,1,1,1
unsat58.txt,2,2,2,2
lift_f_l_7.alaska,3,2,2,2
pltl-12-0-14-3-0-200002.alaska,1,1,1,1
pltl-12-0-59-3-0-200003.alaska,100,100,100,100
pltl-5-0-19-3-0-200008.alaska,1,1,1,1
unsat45.txt,2,2,2,2
pltl-12-0-96-3-0-200008.alaska,100,100,100,100
pltl-12-0-4-3-0-200005.alaska,1,1,1,1
pltl-12-0-2-3-0-200000.alaska,1,1,1,1
pltl-12-0-59-3-0-200001.alaska,100,100,100,100
pltl-5-0-35-3-0-200003.alaska,1,1,1,1
counterLinear4.alaska,3,2,2,2
unsat18.txt,4,4,4,4
lift_f_l_17.alaska,100,100,100,2
unsat135.txt,3,3,3,3
forobotsr1f0_GF_ra.alaska,2,2,2,2
spec_cl_15.alaska,100,100,3,3
demo-v3_cl_2.alaska,2,2,2,2
unsat148.txt,3,3,3,3
unsat101.txt,3,3,3,3
pltl-5-0-15-3-0-200001.alaska,1,1,1,1
pltl-12-0-58-3-0-200001.alaska,1,1,1,1
O2formula80.alaska,80,80,80,80
forobotsr1f0_G_l.alaska,2,2,2,2
unsat206.txt,3,3,3,3
unsat223.txt,6,6,6,6
phltl_7_6.alaska,3,2,2,2
pltl-12-0-25-3-0-200006.alaska,1,1,1,1
pltl-12-0-9-3-0-200001.alaska,1,1,1,1
unsat73.txt,6,6,6,6
pltl-5-0-19-3-0-200001.alaska,1,1,1,1
pltl-5-0-16-3-0-200006.alaska,1,1,1,1
pltl-12-0-25-3-0-200004.alaska,1,1,1,1
pltl-12-0-57-3-0-200004.alaska,1,1,1,1
lift_f_3.alaska,2,2,2,2
phltl_17_16.alaska,2,2,2,2
pltl-12-0-78-3-0-200001.alaska,1,1,1,1
pltl-12-0-9-3-0-200006.alaska,1,1,1,1
pltl-12-0-12-3-0-200003.alaska,1,1,1,1
pltl-12-0-19-3-0-200004.alaska,1,1,1,1
spec_cl_3.alaska,1,1,1,1
pltl-5-0-11-3-0-200007.alaska,1,1,1,1
unsat188.txt,3,3,3,3
counter4.alaska,3,2,2,2
pltl-12-0-54-3-0-200001.alaska,100,100,100,100
pltl-12-0-6-3-0-200005.alaska,1,1,1,1
counterCarry4.alaska,2,2,2,2
lift_b_f_15.alaska,2,2,2,2
unsat115.txt,4,4,4,4
pltl-12-0-60-3-0-200009.alaska,1,1,1,1
pltl-12-0-24-3-0-200009.alaska,1,1,1,1
pltl-12-0-13-3-0-200000.alaska,1,1,1,1
spec_c_19.alaska,100,100,3,3
pltl-12-0-16-3-0-200000.alaska,1,1,1,1
lift_b_10.alaska,2,3,2,2
pltl-12-0-84-3-0-200006.alaska,1,1,1,1
pltl-12-0-6-3-0-200009.alaska,1,1,1,1
pltl-5-0-35-3-0-200002.alaska,1,1,1,1
forobotsr1f0_G_mh.alaska,2,2,2,2
phltl_33_32.alaska,3,2,2,2
pltl-12-0-53-3-0-200008.alaska,1,1,1,1
spec_c_20.alaska,100,100,1,1
O1formula9.alaska,2,2,2,2
pltl-5-0-19-3-0-200006.alaska,1,1,1,1
lift_b_l_9.alaska,3,3,3,3
pltl-12-0-78-3-0-200008.alaska,1,1,1,1
pltl-5-0-16-3-0-200000.alaska,1,1,1,1
pltl-5-0-10-3-0-200005.alaska,1,1,1,1
lift_f_l_4.alaska,3,4,3,3
pltl-12-0-60-3-0-200002.alaska,1,1,1,1
pltl-5-0-2-3-0-200001.alaska,1,1,1,1
pltl-12-0-1-3-0-200000.alaska,1,1,1,1
pltl-12-0-4-3-0-200001.alaska,1,1,1,1
counterLinear19.alaska,2,2,2,2
pltl-5-0-35-3-0-200001.alaska,1,1,1,1
pltl-5-0-3-3-0-200009.alaska,1,1,1,1
unsat184.txt,3,3,3,3
pltl-12-0-49-3-0-200001.alaska,1,1,1,1
unsat46.txt,3,3,3,3
unsat27.txt,4,4,4,4
unsat146.txt,3,3,3,3
pltl-12-0-7-3-0-200006.alaska,1,1,1,1
pltl-12-0-44-3-0-200009.alaska,1,1,1,1
pltl-12-0-22-3-0-200001.alaska,1,1,1,1
pltl-12-0-13-3-0-200008.alaska,1,1,1,1
pltl-5-0-27-3-0-200001.alaska,1,1,1,1
pltl-5-0-12-3-0-200000.alaska,1,1,1,1
lift_f_18.alaska,100,2,2,2
pltl-12-0-39-3-0-200001.alaska,1,1,1,1
unsat15.txt,4,4,4,4
pltl-12-0-1-3-0-200003.alaska,1,1,1,1
pltl-12-0-25-3-0-200003.alaska,1,1,1,1
pltl-5-0-17-3-0-200006.alaska,1,1,1,1
unsat36.txt,4,4,4,4
lift_f_l_3.alaska,3,3,2,2
counterLinear5.alaska,2,3,3,3
unsat71.txt,6,6,6,6
pltl-12-0-47-3-0-200003.alaska,1,1,1,1
unsat150.txt,3,3,3,3
unsat226.txt,6,6,6,6
pltl-12-0-14-3-0-200004.alaska,1,1,1,1
lift_b_f_l_13.alaska,100,2,3,3
pltl-12-0-38-3-0-200000.alaska,1,1,1,1
spec_cl_2.alaska,1,1,1,1
counterCarry14.alaska,100,2,2,2
pltl-12-0-78-3-0-200006.alaska,1,1,1,1
pltl-5-0-20-3-0-200002.alaska,1,1,1,1
pltl-5-0-2-3-0-200006.alaska,1,1,1,1
unsat179.txt,3,3,3,3
pltl-12-0-59-3-0-200002.alaska,100,100,100,100
pltl-5-0-16-3-0-200009.alaska,1,1,1,1
unsat49.txt,3,3,3,3
lift_b_3.alaska,2,2,2,2
lift_b_f_3.alaska,2,2,2,2
lift_b_l_14.alaska,2,3,3,3
O2formula9.alaska,9,9,9,9
lift_b_f_14.alaska,2,2,2,2
pltl-12-0-57-3-0-200007.alaska,1,1,1,1
counter19.alaska,2,2,2,2
pltl-12-0-38-3-0-200006.alaska,1,1,1,1
pltl-5-0-3-3-0-200008.alaska,1,1,1,1
pltl-12-0-9-3-0-200004.alaska,1,1,1,1
pltl-12-0-26-3-0-200007.alaska,1,1,1,1
spec_c_7.alaska,1,1,3,3
pltl-12-0-49-3-0-200006.alaska,1,1,1,1
counterCarry11.alaska,100,100,2,2
pltl-12-0-90-3-0-200000.alaska,1,1,1,1
phltl_44_43.alaska,2,2,3,2
pltl-5-0-20-3-0-200004.alaska,1,1,1,1
spec_c_11.alaska,100,100,2,2
pltl-12-0-26-3-0-200009.alaska,1,1,1,1
lift_l_9.alaska,4,3,2,2
pltl-12-0-72-3-0-200002.alaska,100,100,100,100
pltl-5-0-12-3-0-200009.alaska,1,1,1,1
unsat10.txt,5,5,5,5
unsat60.txt,2,2,2,2
spec_c_5.alaska,1,1,1,1
O1formula50.alaska,2,2,2,2
pltl-12-0-30-3-0-200009.alaska,1,1,1,1
pltl-12-0-90-3-0-200005.alaska,1,1,1,1
pltl-5-0-4-3-0-200001.alaska,1,1,1,1
pltl-12-0-84-3-0-200008.alaska,100,100,100,100
pltl-5-0-30-3-0-200006.alaska,1,1,1,1
pltl-12-0-13-3-0-200006.alaska,1,1,1,1
pltl-12-0-26-3-0-200002.alaska,1,1,1,1
counter9.alaska,2,2,2,2
pltl-12-0-5-3-0-200003.alaska,1,1,1,1
pltl-12-0-38-3-0-200007.alaska,1,1,1,1
pltl-5-0-29-3-0-200001.alaska,13,13,15,13
forobotsr1f0_Gn_d.alaska,2,2,2,2
pltl-5-0-27-3-0-200004.alaska,1,1,1,1
pltl-12-0-96-3-0-200001.alaska,100,100,100,100
pltl-5-0-25-3-0-200003.alaska,1,1,1,1
unsat83.txt,6,6,6,6
pltl-12-0-13-3-0-200005.alaska,1,1,1,1
counterCarryLinear11.alaska,2,2,2,2
pltl-5-0-35-3-0-200000.alaska,1,1,1,1
pltl-12-0-44-3-0-200003.alaska,1,1,1,1
lift_l_6.alaska,3,4,4,4
pltl-5-0-18-3-0-200009.alaska,1,1,1,1
lift_b_f_l_12.alaska,100,100,3,3
pltl-12-0-7-3-0-200001.alaska,1,1,1,1
pltl-12-0-48-3-0-200009.alaska,100,100,100,100
pltl-12-0-49-3-0-200004.alaska,1,1,1,1
pltl-12-0-42-3-0-200006.alaska,1,1,1,1
pltl-5-0-27-3-0-200005.alaska,1,1,1,1
pltl-12-0-40-3-0-200004.alaska,1,1,1,1
pltl-12-0-57-3-0-200008.alaska,1,1,1,1
spec_c_18.alaska,100,100,1,1
pltl-12-0-2-3-0-200009.alaska,1,1,1,1
lift_b_4.alaska,1,1,1,1
pltl-12-0-44-3-0-200000.alaska,1,1,1,1
pltl-12-0-60-3-0-200005.alaska,100,100,100,100
pltl-12-0-26-3-0-200008.alaska,1,1,1,1
forobotsr1f0_GF_d.alaska,2,2,2,2
pltl-12-0-5-3-0-200006.alaska,1,1,1,1
O1formula100.alaska,2,2,2,2
pltl-5-0-11-3-0-200003.alaska,1,1,1,1
lift_l_14.alaska,4,2,3,3
unsat90.txt,3,3,3,3
unsat121.txt,8,8,8,8
pltl-12-0-60-3-0-200008.alaska,100,100,100,100
forobotsr1f0_FGn_l.alaska,2,2,2,2
pltl-12-0-25-3-0-200002.alaska,1,1,1,1
lift_b_f_l_7.alaska,3,3,3,3
pltl-12-0-57-3-0-200006.alaska,1,1,1,1
pltl-5-0-35-3-0-200008.alaska,1,1,1,1
unsat43.txt,3,3,3,3
pltl-12-0-39-3-0-200000.alaska,1,1,1,1
forobotsr1f0_GF_g.alaska,2,2,2,2
pltl-5-0-11-3-0-200002.alaska,1,1,1,1
pltl-12-0-44-3-0-200004.alaska,1,1,1,1
counterLinear14.alaska,100,2,2,2
O1formula900.alaska,100,2,2,2
counterCarry18.alaska,2,2,2,2
pltl-5-0-15-3-0-200004.alaska,1,1,1,1
phltl_46_45.alaska,2,2,3,2
pltl-5-0-22-3-0-200009.alaska,1,1,1,1
pltl-5-0-28-3-0-200000.alaska,15,15,14,15
pltl-12-0-7-3-0-200007.alaska,1,1,1,1
unsat218.txt,7,7,7,7
pltl-12-0-2-3-0-200005.alaska,1,1,1,1
counterCarry17.alaska,100,2,2,2
counterLinear11.alaska,3,2,2,2
unsat82.txt,6,6,6,6
lift_13.alaska,2,2,2,2
forobotsr1f0_Gn_re.alaska,2,2,2,2
counterCarryLinear18.alaska,2,2,2,2
spec_c_9.alaska,100,100,1,1
pltl-5-0-17-3-0-200000.alaska,1,1,1,1
unsat126.txt,8,8,8,8
unsat176.txt,3,3,3,3
pltl-12-0-59-3-0-200008.alaska,1,1,1,1
pltl-12-0-49-3-0-200000.alaska,1,1,1,1
pltl-12-0-12-3-0-200000.alaska,1,1,1,1
forobotsr1f0_G_s1.alaska,2,2,2,2
O1formula3.alaska,2,2,2,2
unsat164.txt,3,3,3,3
forobotsr1f0_GF_s1.alaska,2,2,2,2
lift_l_15.alaska,3,100,3,3
pltl-5-0-15-3-0-200009.alaska,1,1,1,1
pltl-5-0-18-3-0-200006.alaska,1,1,1,1
pltl-12-0-10-3-0-200006.alaska,1,1,1,1
lift_b_l_6.alaska,2,3,2,2
unsat167.txt,3,3,3,3
pltl-12-0-33-3-0-200007.alaska,1,1,1,1
pltl-12-0-7-3-0-200000.alaska,1,1,1,1
pltl-12-0-12-3-0-200004.alaska,1,1,1,1
unsat77.txt,6,6,6,6
unsat91.txt,3,3,3,3
lift_b_f_l_8.alaska,100,1,3,3
unsat11.txt,5,5,5,5
lift_l_5.alaska,3,3,4,4
lift_l_8.alaska,3,4,4,4
pltl-12-0-4-3-0-200007.alaska,1,1,1,1
pltl-12-0-45-3-0-200006.alaska,1,1,1,1
pltl-5-0-15-3-0-200003.alaska,1,1,1,1
pltl-12-0-16-3-0-200001.alaska,1,1,1,1
unsat134.txt,3,3,3,3
unsat229.txt,6,6,6,6
pltl-5-0-1-3-0-200001.alaska,1,1,1,1
lift_b_f_l_3.alaska,2,2,3,3
pltl-12-0-19-3-0-200009.alaska,1,1,1,1
lift_4.alaska,2,2,2,2
pltl-12-0-78-3-0-200000.alaska,1,1,1,1
unsat89.txt,3,3,3,3
pltl-5-0-35-3-0-200007.alaska,1,1,1,1
pltl-5-0-21-3-0-200007.alaska,1,1,1,1
phltl_11_10.alaska,2,2,2,2
pltl-12-0-45-3-0-200008.alaska,1,1,1,1
pltl-12-0-58-3-0-200004.alaska,1,1,1,1
O2formula6.alaska,6,6,6,6
phltl_35_34.alaska,2,3,2,3
O2formula200.alaska,200,200,200,200
lift_b_f_12.alaska,100,2,2,2
pltl-5-0-5-3-0-200003.alaska,1,1,1,1
pltl-12-0-6-3-0-200001.alaska,1,1,1,1
forobotsr1f0_FGn_d.alaska,2,2,2,2
pltl-12-0-11-3-0-200000.alaska,1,1,1,1
pltl-12-0-57-3-0-200001.alaska,1,1,1,1
counter8.alaska,2,2,2,2
pltl-12-0-7-3-0-200009.alaska,1,1,1,1
pltl-12-0-2-3-0-200007.alaska,1,1,1,1
pltl-12-0-22-3-0-200004.alaska,1,1,1,1
lift_b_8.alaska,1,1,1,1
counterLinear2.alaska,2,3,2,2
pltl-5-0-21-3-0-200002.alaska,1,1,1,1
forobotsr1f0_G_re.alaska,2,2,2,2
pltl-5-0-40-3-0-200007.alaska,1,1,1,1
unsat221.txt,6,6,6,6
demo-v3_cl_11.alaska,2,2,2,2
unsat145.txt,3,3,3,3
unsat22.txt,4,4,4,4
pltl-12-0-12-3-0-200008.alaska,1,1,1,1
pltl-12-0-37-3-0-200008.alaska,1,1,1,1
O2formula30.alaska,30,30,30,30
pltl-12-0-84-3-0-200009.alaska,100,100,100,100
forobotsr1f0_Gn_s1.alaska,2,2,2,2
pltl-5-0-19-3-0-200004.alaska,1,1,1,1
pltl-12-0-90-3-0-200004.alaska,1,1,1,1
pltl-5-0-30-3-0-200008.alaska,1,1,1,1
pltl-12-0-78-3-0-200002.alaska,1,1,1,1
unsat86.txt,2,2,2,2
pltl-5-0-20-3-0-200008.alaska,1,1,1,1
lift_b_f_10.alaska,2,3,2,2
lift_b_11.alaska,2,2,2,2
